9900 fde0
9901 2104
9902 9310
80fe a5a8
80fd 3644
80f7 a246
80f5 61e0
81fe a5a8
81fd 3644
81f7 a246
81f5 61e0
82fe a5a8
82fd 3644
82f7 a246
82f5 61e0
83fe a5a8
83fd 3644
83f7 a246
83f5 61e0
84fe a5a8
84fd 3644
84f7 a246
84f5 61e0
85fe a5a8
85fd 3644
85f7 a246
85f5 61e0
86fe a5a8
86fd 3644
86f7 a246
86f5 61e0
87fe a5a8
87fd 3644
87f7 a246
87f5 61e0
0007 002a
8000 4d05
8007 4d7a
8100 4d05
8107 4d7a
8200 4d05
8207 4d7a
8300 4d05
8307 4d7a
8400 4d05
8407 4d7a
8500 4d05
8507 4d7a
8600 4d05
8607 4d7a
8700 4d05
8707 4d7a
80f8 b778
81f8 b778
82f8 b778
83f8 b778
84f8 b778
85f8 b778
86f8 b778
87f8 b778
80a7 1400
81a7 1400
82a7 1400
83a7 1400
84a7 1400
85a7 1400
86a7 1400
87a7 1400
80a8 3c00
81a8 3c00
82a8 3c00
83a8 3c00
84a8 3c00
85a8 3c00
86a8 3c00
87a8 3c00
7006 1254
7106 1254
7206 1254
7306 1254
7406 1254
7506 1254
7606 1254
7706 1254
7009 3a90
7109 3a90
7209 3a90
7309 3a90
7409 3a90
7509 3a90
7609 3a90
7709 3a90
7019 0004
7119 0004
7219 0004
7319 0004
7419 0004
7519 0004
7619 0004
7719 0004
7008 0780
7108 0780
7208 0780
7308 0780
7408 0780
7508 0780
7608 0780
7708 0780
8081 3000
8181 3000
8281 3000
8381 3000
8481 3000
8581 3000
8681 3000
8781 3000
8079 886c 
8179 886c
8279 886c
8379 886c
8479 886c
8579 886c
8679 886c
8779 886c
8084 8d7a
8085 4d7a
8086 cd7a
8087 cd7a
8088 4d7a
8184 8d7a
8185 4d7a
8186 cd7a
8187 cd7a
8188 4d7a
8284 8d7a
8285 4d7a
8286 cd7a
8287 cd7a
8288 4d7a
8384 8d7a
8385 4d7a
8386 cd7a
8387 cd7a
8388 4d7a
8484 8d7a
8485 4d7a
8486 cd7a
8487 cd7a
8488 4d7a
8584 8d7a
8585 4d7a
8586 cd7a
8587 cd7a
8588 4d7a
8684 8d7a
8685 4d7a
8686 cd7a
8687 cd7a
8688 4d7a
8784 8d7a
8785 4d7a
8786 cd7a
8787 cd7a
8788 4d7a
7019 0005
7119 0005
7219 0005
7319 0005
7419 0005
7519 0005
7619 0005
7719 0005
7016 81c0
7116 81c0
7216 81c0
7316 81c0
7416 81c0
7516 81c0
7616 81c0
7716 81c0
804d 8000
814d 8000
824d 8000
834d 8000
844d 8000
854d 8000
864d 8000
874d 8000
804e 3800
814e 3800
824e 3800
834e 3800
844e 3000
854e 3000
864e 3000
874e 3000
8061 3C20
8161 3420
8261 3420
8361 3C20
8461 3C20
8561 3420
8661 3420
8761 3420
80a0 0080
81a0 0080
82a0 0080
83a0 0000
84a0 0000
85a0 0080
86a0 0080
87a0 0080
7008 0c00
7108 0c00
7208 0c00
7308 0c00
7408 0c00
7508 0c00
7608 0c00
7708 0c00
8001 0201
8101 0201
8201 0201
8301 0201
8401 0201
8501 0201
8601 0201
8701 0201
80fb 7736
81fb 7736
82fb 7736
83fb 7736
84fb 7736
85fb 7736
86fb 7736
87fb 7736
80f0 67b4
81f0 67b4
82f0 67b4
83f0 67b4
84f0 67b4
85f0 67b4
86f0 67b4
87f0 67b4
80ef b6a0
81ef b6a0
82ef b6a0
83ef b6a0
84ef b6a0
85ef b6a0
86ef b6a0
87ef b6a0
701A FF00
711A FF00
721A FF00
731A FF00
80f9 8bda #ac coupled
81f9 8bda
82f9 8bda
83f9 8bda
84f9 8bda
85f9 8bda
86f9 8bda
87f9 8bda
80df 0066
81df 0066
82df 0066
83df 0066
84df 0066
85df 0066
86df 0066
87df 0066
80f1 b000
81f1 b000
82f1 b000
83f1 b000
84f1 b000
85f1 b000
86f1 b000
87f1 b000
80ff fdc0
81ff fdc0
82ff fdc0
83ff fdc0
84ff fdc0
85ff fdc0
86ff fdc0
87ff fdc0
